Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464555 function calls (440614 primitive calls) in 1.152 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       54    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       53    0.000    0.000    0.001    0.000 typing.py:885(__init__)
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    51/21    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       50    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       49    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       45    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
       44    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
       43    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    43/15    0.000    0.000    0.111    0.007 {built-in method builtins.__import__}
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
    42/16    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
       42    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       41    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       41    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
       41    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       40    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
       39    0.000    0.000    0.000    0.000 inspect.py:2777(kind)
       39    0.000    0.000    0.002    0.000 typing.py:740(Optional)
       39    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       38    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
       36    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       36    0.000    0.000    0.000    0.000 _policybase.py:209(header_max_count)
       36    0.000    0.000    0.000    0.000 _policybase.py:313(header_store_parse)
       36    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
       35    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
       34    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       34    0.000    0.000    0.003    0.000 enum.py:528(__new__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 _util.py:84(validate)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
       32    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       32    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       31    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       31    0.000    0.000    0.000    0.000 _models.py:74(_normalize_header_value)
       31    0.000    0.000    0.000    0.000 _models.py:67(_normalize_header_key)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       30    0.001    0.000    0.517    0.017 __init__.py:1(<module>)
       30    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
       30    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       30    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
       30    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
       29    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       29    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
