Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464501 function calls (440570 primitive calls) in 1.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      302    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      194    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
      185    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      337    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
      119    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       39    0.000    0.000    0.002    0.000 typing.py:740(Optional)
       69    0.000    0.000    0.000    0.000 typing.py:2476(overload)
        1    0.000    0.000    0.001    0.001 _status_codes.py:1(<module>)
       29    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
       34    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      323    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       25    0.000    0.000    0.002    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        2    0.000    0.000    0.004    0.002 _streams.py:1(<module>)
        1    0.000    0.000    0.109    0.109 element.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
    40/31    0.000    0.000    0.009    0.000 css_parser.py:746(parse_pseudo_open)
      298    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.049    0.049 css_parser.py:1(<module>)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        3    0.000    0.000    0.000    0.000 _urlparse.py:213(urlparse)
        1    0.000    0.000    0.458    0.458 sync.py:188(connect_tcp)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        9    0.000    0.000    0.000    0.000 _connection.py:272(_process_event)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
      213    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
       26    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
      433    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       50    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        1    0.000    0.000    0.000    0.000 __init__.py:100(CompleteDirs)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
        1    0.000    0.000    0.205    0.205 http11.py:65(handle_request)
        1    0.000    0.000    0.024    0.024 request.py:1(<module>)
       29    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:112(IncompleteRead)
       15    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        6    0.000    0.000    0.203    0.034 sync.py:124(read)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.458    0.458 socket.py:810(create_connection)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      112    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       53    0.000    0.000    0.001    0.000 typing.py:885(__init__)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
        2    0.000    0.000    0.000    0.000 _headers.py:152(normalize_and_validate)
      240    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       15    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 _eventloop.py:56(AsyncBackend)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      194    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       10    0.000    0.000    0.000    0.000 _models.py:144(__init__)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       61    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
       41    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      335    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       30    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       13    0.000    0.000    0.002    0.000 dataclasses.py:638(_frozen_get_del_attr)
      285    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      299    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      114    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       11    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        2    0.000    0.000    0.009    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.045    0.045 _client.py:1(<module>)
        2    0.000    0.000    0.016    0.008 _models.py:1(<module>)
        1    0.000    0.000    0.869    0.869 connection.py:69(handle_request)
        1    0.000    0.000    0.206    0.206 sync.py:144(start_tls)
        3    0.000    0.000    0.000    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.871    0.871 _client.py:1001(_send_single_request)
        7    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       17    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
        2    0.000    0.000    0.000    0.000 _tasks.py:1(<module>)
        2    0.000    0.000    0.050    0.025 connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 memory.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
      146    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.001    0.000 _connection.py:438(next_event)
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
       30    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
       16    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
