('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         897813 function calls (873520 primitive calls) in 4.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      382    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      396    0.000    0.000    0.000    0.000 element.py:2355(get)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        2    0.000    0.000    2.246    1.123 client.py:291(_read_status)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.051    0.051 dammit.py:1(<module>)
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      358    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      548    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        2    0.000    0.000    0.205    0.103 client.py:213(_read_headers)
    80/47    0.000    0.000    0.092    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        7    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      533    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       61    0.000    0.000    0.621    0.010 client.py:633(_safe_read)
       43    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      191    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    40/31    0.000    0.000    0.009    0.000 css_parser.py:746(parse_pseudo_open)
       42    0.000    0.000    0.007    0.000 response.py:494(_decode)
        2    0.000    0.000    2.454    1.227 connection.py:534(getresponse)
        2    0.000    0.000    2.453    1.227 client.py:324(begin)
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      2/1    0.000    0.000    3.807    3.807 sessions.py:673(send)
        1    0.000    0.000    0.049    0.049 css_parser.py:1(<module>)
      375    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
        2    0.000    0.000    0.000    0.000 connection.py:418(request)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
  195/193    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
